"GID_1","member_community","trpar","trtax","trgov","trlaw","trgen","trrel","trnei","tracq","railway_contact","explorer_contact","district_ethnic_frac","loc_ln_export_area","distsea","mp_service"
"LBR2",0.43865818,1.91245960894327,1.14315771579598,1.30684549173194,1.3176195752704,0.144412350774884,2.11264250832508,1.35722948825447,1.17389482086665,0.11180968,0.86573762,0.64648312,0.049041208,851.99753694259,0.856890967780299
"LBR3",0.61255014,1.30263954268841,0.95114926815496,1.61481544977085,1.13718657547114,0.294164426661123,1.99689911451067,1.41826504524765,0.877374289876264,0,0.90698516,0.53094399,0,1004.12100473953,0.153034993175838
"LBR4",0.84385324,1.91853075554645,1.44079359742232,1.87439454328238,1.80770819012263,0.0997318972161144,2.65701722970378,2.34036062886228,2.03322497239582,0,0.95903087,0.45377469,0.06398268,928.051163927012,0
"LBR5",0.34240025,1.79115600447112,1.30926098922217,1.53078119783208,1.81645525675207,0.0989141425095701,1.77555091781036,1.44477942584742,1.2782920862499,0.021636162,0.87263477,0.46786505,0.0027723156,581.5667223262,0.399670296295913
"LBR6",0.77548343,2.22899794508846,1.7452947491664,2.25663120118708,2.08222996394292,0.265404205780287,1.99337768054939,1.23436725419927,0.873356528505009,0,0.98168969,0.27435139,0.094593845,930.418330047454,0.588517620351148
"LBR7",0.58696431,1.36835278858625,1.625,2.21044098573282,1.55071428571429,0.478214285714286,2.30917639429313,1.46708819714656,0.776264591439689,0,1,0.25872645,0.094593845,925.617732565635,1
"LBR8",0.57714945,2.21079031087729,1.26322303722658,1.68962266678336,1.51126784463256,0.268471340927943,2.02254700413596,1.3059476343649,0.94157178126481,0.025795661,0.82473838,0.37214428,0.066475406,870.892088376784,0.781000074824256
"LBR9",0.4398942,1.31487006352508,1.14405553441477,1.61763020427291,1.28606785127952,0.121095524969073,2.10402196633428,1.23485628137369,0.815655924441178,0.012203726,0.20422249,0.35416815,0.10509525,765.576020449979,0.755683855955185
"LSO10",0.309806376666667,1.88074877176306,1.65252165515055,1.69921956870625,2.02074535109534,0.063409215672281,1.81432706228017,1.33504728139774,1.05268114964543,0.208143673333333,0.626548093333333,0.319969856666667,0.1153338756,653.613112996754,0.960762404345316
"LSO2",0.24635078,1.94820731453586,1.43030314068166,1.1628170682018,1.77586763136825,0.0578998077704056,2.10926849469589,1.494245116632,1.29593350892728,0.12852283,0.81118023,0.64883655,0.06197625,902.277439750758,0.52500030313196
"LSO3",0.32700769,1.85935586889408,1.4762128321911,1.45430025678281,1.98644745627926,0.0320348337513156,1.87323097787873,1.26183125540013,1.01379737298372,0.1113269315,0.6882467,0.499285685,0.0455208825,933.488451857193,0.893975172984313
"LSO4",0.3404488,1.65978602927584,1.42802156017307,1.80894286218312,2.10740067693585,0.0544981015095411,1.79722862068922,1.36467892895362,1.09648525343935,0.14166778,0.64509362,0.5076614,0.30305213,696.815509698625,1
"LSO5",0.448857883333333,1.72867726296524,1.4434811740839,1.50874466321062,1.94827777547378,0.0545555367019365,1.97127710924374,1.44147747827183,1.14619203315703,0.0626760866666667,0.495782473333333,0.367925086666667,0.320019244,564.996269784282,0.863624845076949
"MAR1",0.47006148,0.665549762314688,0.843062241503224,0.663694066400345,0.930621569859093,0.208139807699242,1.79893060853696,1.41748907437042,0.86697909781622,NA,NA,NA,NA,NA,1
"MAR10",0.3264952,0.349025647041247,0.319836217390385,0.331667956597716,0.392085192100449,0.0953093900160725,2.25360535835758,1.37371656952053,1.64844084506343,NA,NA,NA,NA,NA,1
"MAR11",0.087720595,0.800261163368307,0.673796405952608,0.720918719524361,1.0553921218638,0.209192842727779,1.76086712047705,1.50479972909864,1.40507974453922,NA,NA,NA,NA,NA,1
"MAR12",0.16832578,1.21373201317266,1.19775398443738,1.218701098264,1.62031213068496,0.164807469354381,2.79356129933777,1.9536388870022,1.49454918187011,NA,NA,NA,NA,NA,1
"MAR13",0.035438027,1.18849077593548,1.27441797173257,1.18849077593548,1.20997257488475,0,2.59083567541318,1.89594702093903,1.60845767452852,NA,NA,NA,NA,NA,1
"MAR14",0.20017393,1.01134001231002,1.02516547032899,0.706201672595241,1.60241171429347,0.178096709173202,2.58821306795153,1.71012661453456,1.3497039566499,NA,NA,NA,NA,NA,1
"MAR15",0.1293813,0.767659769148706,0.894372544342504,1.08879200495229,1.09250922476048,0.156274304358168,2.15675008627255,1.15160746009357,1.0288636626631,NA,NA,NA,NA,NA,1
"MAR2",0.010943557,1.37169546235729,0.579407861215724,1.35530983522031,1.10328898059147,0.478248360806096,2.1958816709404,2.01438800825641,1.66147688424047,NA,NA,NA,NA,NA,1
"MAR3",0.10033645,0.695727178669766,0.798022997051672,0.66714177919152,0.875346984792864,0.276590004609201,2.44064956397664,1.57878047285703,1.03151999374606,NA,NA,NA,NA,NA,1
"MAR4",0.030288337,1.03897263285159,1.15822689544727,0.620369731440352,1.3740446502173,0.0155353206491176,2.66893198185864,0.967953757803545,0.956465601934674,NA,NA,NA,NA,NA,1
