,GID_1,Mean_of_Night_Light,Std_of_Night_Light,Mean_distance_to_major_rd,Std_distance_to_major_rd,Mean_built_settlement_growth,Std_built_settlement_growth
631,LBR5,0.07684626781282133,0.026662279017516128,4.937923024653652,1.1575951666099682,239.82428853867717,44.29515120153419
632,LBR6,0.06584979699722156,0.01563443142724849,12.057559663976894,3.287459990213603,239.96934925374393,51.4957905577205
633,LBR7,0.06003441180476545,0.008140385194391352,4.84571024658497,0.7993253711317241,239.97277487996917,31.362186400122297
634,LBR8,0.0569447974018103,0.014717876338817357,7.734104931892139,2.209305096195841,239.90875590214853,51.6015678002449
635,LBR9,0.12774886519978063,0.03423723538425117,2.609803541491723,0.38287442519208575,239.79230985497767,27.45603173296953
636,LBR10,0.06535278174695124,0.008293632977061444,3.498914896268883,0.4569439398280253,239.9634078121933,24.25764181628092
637,LBR11,0.2637100478807357,0.0766187604350176,1.9444885754187564,0.2406072062112641,239.75152599619955,22.082900189704983
638,LBR12,0.06800813488836505,0.02304076777373946,4.049711417201723,1.2601417737722627,239.85884555797963,55.28682786425628
639,LBR13,0.062438196820302556,0.010011042553150905,4.6884886814102344,1.0315488407266962,239.96741173433648,37.42242520956887
640,LBR14,0.05913640063613874,0.0103231907657994,10.470955025859013,2.1569140286109665,239.98678383291576,40.41089310704179
641,LBR15,0.06419356052455798,0.014038256913009483,10.10687327567372,2.623374280579196,239.96591396676516,49.30649954343006
642,GNQ1,0.21734046606166216,0.0036625578419729743,3.2492684304170996,0.02767078846780659,239.99957624333024,1.795667289151971
643,GNQ2,3.60371618714971,0.49235347171854965,1.8435308359785954,0.0969216466937067,239.97048261652034,9.542534680064703
644,GNQ3,0.09804547894226225,0.02053119623946565,5.220017410436437,0.39904610024467163,239.99475292262557,14.531833409313377
645,GNQ4,0.0716602437920143,0.049359001492347024,7.629795548862316,1.425613221404845,239.9861437090959,35.722588746725904
646,GNQ5,0.07494647697983392,0.03251271783876133,7.785921031949594,0.9242071149383951,239.98985736222764,23.06013272721647
647,GNQ6,0.24812279492447947,0.2215602613387201,5.1440501473559435,1.0467962932067298,239.95711955928164,33.1383141627254
648,GNQ7,0.19138304457478553,0.11997940751978048,6.031787191768079,0.9524040817531889,239.9840363093745,30.006377200462346
649,GNB1,0.03900089409932171,0.042817497526910366,6.049186357222729,2.112189731659115,239.92681848671506,67.58860623302847
650,GNB2,0.07418453625225785,0.030629486537543674,3.0511475284383733,0.3983481266724265,239.9079749547604,25.325719246040382
651,GNB3,1.8760347275254918,0.11124639699220562,0.9098045794565675,0.040817147654381714,239.86779623743203,8.416261339142212
652,GNB4,0.024467763308791933,0.012382428933151552,52.995183919946754,8.508932744777,239.98342382175406,35.89476074158366
653,GNB5,0.02536111644695025,0.016760966552216924,7.00805791487874,2.4940195907237093,239.81432031683585,61.42654555129257
654,GNB6,0.06400007428911422,0.12398672500213255,12.02236063851573,5.030752943523937,239.9203033625363,81.91952160780413
655,GNB7,0.02791431091336979,0.015451223665026338,5.207673275481105,1.722975823571494,239.92571245766462,65.56115097041622
656,GNB8,0.025225649705479372,0.009500740154382684,8.113835864048253,2.0191672732075774,239.95892694442009,49.20693677896114
657,GNB9,0.023946741572002637,0.013446858016137327,8.558268179305323,2.3026147008258167,239.9457759597145,52.695651750511715
658,GMB1,4.875905763424432,0.32918206900551333,0.9379577411337706,0.06652127735389571,239.69961038227035,12.215186655384151
659,GMB2,0.10220288294604489,0.13884528043211505,2.7972284363377264,0.7603547961668528,239.84161911094165,53.72739595054791
